Thr,Vol,Cur,Power,RPM,Torque,Thrust,Eff
0.40,23.7,1.63,39,2481,0.1,501,13.02
0.45,23.67,2.21,52,2790,0.13,640,12.24
0.50,23.64,2.88,68,3103,0.15,784,11.5
0.55,23.61,3.71,88,3410,0.19,942,10.75
0.60,23.57,4.66,110,3689,0.22,1119,10.18
0.65,23.54,5.68,134,3947,0.25,1289,9.64
0.70,23.5,6.78,159,4203,0.29,1454,9.13
0.75,23.46,8,188,4442,0.32,1631,8.69
0.80,23.42,9.28,217,4664,0.35,1798,8.28
0.90,23.32,12.31,287,5105,0.43,2186,7.62
1,23.22,15.41,358,5491,0.5,2538,7.09
